Word,N,Mean,SD
drip,23,3.913043478,2.429235635
drive,28,4.178571429,2.419880184
driver,27,4.185185185,2.038797478
driveway,26,6.461538462,0.76056659
drop,26,3.961538462,2.357638975
dropping,23,3.695652174,2.032347112
drops,40,4.15,2.094559497
drove,29,2.965517241,2.211701973
drown,24,2.208333333,1.413572922
drugstore,26,3.807692308,1.876576261
drum,31,6.387096774,0.954896831
drunk,283,1.600706714,1.323384682
dry,23,4.826086957,2.145866511
dryer,41,5.56097561,1.613207682
duck,27,5.111111111,2.18971957
duckling,31,4.387096774,1.960908282
dug,24,3.458333333,2.166527309
dugout,23,2.652173913,1.773765785
dull,25,1.88,1.30128142
dumb,29,2,1.309307341
dummy,26,2.730769231,2.089166194
dump,25,3.6,2.160246899
dungeon,29,2.827586207,2.205009969
during,23,1.913043478,1.378834932
dusk,35,2.285714286,1.525690366
dust,26,4.846153846,1.973672874
dusty,29,4.379310345,2.161576691
dwarf,31,1.774193548,1.14628901
dye,27,3.444444444,1.739436985
dying,23,2.391304348,2.016728459
each,26,2.384615385,1.651106855
eagle,25,4.44,2.218858565
ear,31,6.612903226,0.803219329
early,24,2.625,1.906795628
earn,26,2.576923077,1.858452624
earth,29,5.103448276,2.093268592
easier,25,2.76,1.87705443
easily,48,2.5,2.073131048
easy,42,3.119047619,2.431524474
eat,24,5.791666667,2.283764373
eaten,25,4.04,2.406241883
eating,37,4.648648649,2.791019489
eats,27,4.666666667,2.572039
edge,36,3.555555556,1.963152631
editor,25,1.68,1.375984496
education,28,3.464285714,1.99038695
egg,34,6.558823529,0.704581392
eight,28,3.928571429,2.371568811
eighteen,27,2.481481481,2.045076082
eighth,25,2.84,1.8636881
eighty,30,2.166666667,1.782739723
either,23,2.434782609,1.61881233
elbow,45,6.244444444,1.448440471
eldest,24,1.916666667,1.529895327
election,30,1.833333333,1.440386283
electric,25,2.72,1.947648154
electricity,33,2.818181818,1.86169522
elephant,28,3.642857143,2.738129744
elevator,25,5.84,1.518771433
eleven,30,2.833333333,2.275557277
elk,27,3.407407407,2.205923132
elm,26,3.038461538,2.34061136
else,23,1.826086957,1.613921647
emerald,48,3.458333333,2.18270117
emergency,26,2.807692308,1.980287469
emperor,23,1.434782609,1.121123096
employer,24,2.125,1.596531567
empty,34,3.852941176,2.559975769
enchanted,25,2.4,1.527525232
end,26,4.115384615,2.566350297
ending,29,2.551724138,2.180861673
ends,26,2.230769231,1.817860111
enemy,24,2.875,1.825245665
energy,28,3.607142857,1.87259546
engaged,25,2.32,1.492201952
engine,24,3.75,1.939296152
engineer,32,2.21875,1.773176028
enjoy,24,3.041666667,2.053187695
enormous,26,3.115384615,2.178566925
enough,26,2.961538462,1.886388491
enter,44,2.818181818,1.991525386
enthusiasm,30,2.433333333,1.612095089
entrance,34,3.764705882,2.257094184
envelope,28,5.428571429,1.834415265
environment,27,3.592592593,2.135042051
equator,28,1.821428571,1.44154165
equipment,23,4.869565217,1.890270491
escape,31,2.774193548,1.978377743
especially,23,2.304347826,1.794810261
essay,26,1.923076923,1.874525581
estate,28,1.535714286,1.137969044
eve,29,2.793103448,2.455013971
even,25,1.64,1.577973384
evening,26,2.961538462,2.009592381
event,29,3.172413793,2.139241613
ever,28,1.642857143,1.339272487
every,30,2.266666667,1.928610959
everybody,46,3.673913043,2.404203244
everyday,23,2.652173913,1.96812545
everyone,25,3.84,2.374868417
everything,26,3.038461538,2.288768564
everywhere,47,2.829787234,2.219666533
evil,31,1.838709677,1.462800378
exactly,24,2.083333333,1.501207244
except,44,1.636363636,1.464159559
excited,28,4.714285714,2.521862082
excitement,25,4.68,2.267891826
exciting,26,2.961538462,2.440996014
excuse,25,2.56,2.001665973
exercise,35,4.657142857,2.312915872
exit,27,4.592592593,2.042985358
expect,24,2.666666667,1.88048714
expensive,26,2.423076923,2.023325519
experience,24,2.333333333,1.403928236
experiment,25,3.96,1.968078589
explain,23,2.391304348,1.900696773
explore,25,4.28,1.968925257
explorer,23,3,1.732050808
express,23,1.565217391,1.236787884
extra,24,3.583333333,2.500724533
extremely,29,2.379310345,1.567841854
eye,23,6.47826087,1.081647112
eyebrow,25,5.76,1.42243922
eyed,23,2.217391304,1.704446637
eyes,27,6.481481481,1.087352832
eyesight,28,3.535714286,2.235772182
face,26,6.730769231,0.666794859
facing,48,2.395833333,1.83047004
fact,24,2.416666667,1.691838893
factories,25,2.32,1.519868415
factory,45,3.155555556,2.204907291
fade,32,1.375,0.906962317
fail,23,2.217391304,1.756973683
faint,26,1.923076923,1.324328567
fair,27,2.074074074,1.615452447
fairly,23,1.826086957,1.154129893
fairy,26,2.923076923,2.152637023
fall,25,4,2.380476143
fallen,35,2.8,1.694281038
falls,23,4.347826087,2.423534152
families,31,5.451612903,1.85900887
family,29,6.517241379,1.271126881
famous,29,2.034482759,1.451175844
fan,45,5.177777778,1.748881316
fancy,23,2.695652174,2.054590926
fang,25,3.16,1.907878403
fantastic,23,2.956521739,2.20491725
far,31,2.838709677,2.192362108
faraway,33,2.060606061,1.619015788
fare,31,1.419354839,1.148163564
farm,25,5,2.397915762
farmer,23,4.826086957,1.77487961
farmhouse,27,4.037037037,2.244334431
farming,26,3.423076923,2.175740369
farther,23,2.52173913,1.97414113
fast,47,4,2.61267812
fat,25,3.08,2.080064102
father,29,6.310344828,1.62795771
fatter,33,2.303030303,1.610218318
fault,25,2.84,1.8636881
favor,26,3.269230769,1.866712454
favorite,25,3.64,2.628053779
fear,23,3.913043478,2.353199823
fearless,30,2.666666667,1.667815696
feast,23,4.260869565,1.814522008
feather,23,6.086956522,1.411415907
fed,46,3.369565217,2.407014708
feed,25,3.96,2.423496097
feel,26,2.923076923,2.26138147
feeling,27,3.851851852,2.315561133
feelings,23,4.608695652,2.36910283
feet,26,6.5,0.948683298
fell,25,4.48,2.162560211
fellow,46,1.739130435,1.389400872
felt,29,4.068965517,2.103246376
fence,25,5.92,1.579029238
fender,28,3.142857143,2.320828168
ferry,26,3.038461538,1.684773438
fever,27,4,2.236067977
few,32,3.0625,1.899702863
fiddle,29,3.137931034,2.199417747
field,27,5.555555556,1.577079417
fifteen,48,2.979166667,2.283051181
fig,24,3.458333333,2.225917821
fight,284,3.954225352,2.161668092
fighter,26,3.269230769,1.888018905
figure,24,2.333333333,1.711004451
file,23,3,1.930614598
fill,47,3.319148936,2.432625911
filling,27,3.259259259,1.810069964
film,29,2.965517241,1.762359592
fin,27,3.37037037,1.863581088
finally,31,2.806451613,2.006977077
find,25,3,2.309401077
finding,34,2.970588235,2.34178505
fine,45,2.733333333,2.071450963
finger,46,6.956521739,0.206184571
fingernail,29,6.482758621,1.153277617
finish,36,3.777777778,2.391784882
fir,29,3.655172414,2.17577346
fire,24,2.75,2.211629342
firehouse,35,4.257142857,2.13297441
firelight,26,2.384615385,1.601921923
fireman,26,5.115384615,1.966253759
fireplace,24,4.875,2.173206407
firetruck,26,4.461538462,2.102013687
firm,32,2.5,1.83162188
firmly,27,2.925925926,1.708033641
first,26,3.692307692,2.51028653
fish,23,5.434782609,1.471736357
fisher,34,2.558823529,1.987707321
fisherman,27,3.555555556,2.100061049
fishing,26,3.461538462,2.533468283
fist,30,5.8,1.710011091
fit,24,3.25,2.069446471
five,24,4.083333333,2.685171303
fix,27,4.074074074,2.200103598
fixed,30,3.366666667,2.008316044
fixes,33,3.303030303,2.053729055
flag,23,5.260869565,1.601629605
flagpole,25,4.08,1.998332638
flame,23,3.826086957,2.145866511
flap,43,3.604651163,1.953501556
flapped,30,2.633333333,1.751518225
flare,28,1.892857143,1.257254084
flash,25,2.4,1.755942292
flashlight,25,6.08,1.411854572
flat,24,3.625,2.261444325
flea,24,2.958333333,2.255026591
fleet,24,1.875,1.727337735
flesh,27,4.740740741,2.122998471
flew,30,2.733333333,1.910647721
flicker,33,2.242424242,1.768302559
flies,43,4.790697674,1.994732821
flight,27,3.444444444,1.928198309
flip,23,4.043478261,2.439788755
flippers,48,4.0625,2.225636414
float,26,3.615384615,2.118054259
floats,26,3.923076923,2.348158034
flock,29,3.034482759,1.822140786
floor,24,6.541666667,1.284664283
flop,25,2.52,1.8734994
flour,28,5.785714286,1.618347187
flow,24,2.625,1.995919751
flower,23,6.652173913,1.152416262
flu,25,3.2,2.614064524
fluffy,45,4.244444444,2.287868754
flute,23,3.565217391,2.370770626
fly,27,5.555555556,1.804552647
foam,28,4.321428571,1.925531604
fog,30,3.433333333,1.75545128
foggy,28,3.214285714,1.950444258
foil,24,4.291666667,2.156469874
fold,25,3.92,2.564501251
folks,30,2.966666667,2.235810943
follow,26,3.461538462,2.370329416
following,23,3.869565217,1.984126733
fond,24,2.291666667,1.680558051
food,29,6.827586207,0.601721668
fool,23,1.565217391,1.160959124
foolish,36,1.805555556,1.11661336
foot,31,6.064516129,1.878571867
football,24,5.541666667,1.910592138
footsteps,38,3.552631579,1.954860449
for,42,2.69047619,2.321564813
force,31,2.483870968,1.502685768
forecast,27,2.148148148,1.459813047
forehead,39,5.615384615,2.072570037
foreman,34,1.558823529,1.159706767
forest,26,5.769230769,1.478044446
forever,25,2.12,1.641137817
forget,27,3.444444444,2.241794153
forgive,29,3.482758621,1.975215895
forgot,33,3.96969697,2.364910787
forgotten,26,2.884615385,2.026364687
fork,25,6.8,0.5
form,34,2.470588235,1.878672873
fort,23,5.695652174,1.869243469
forth,29,2.896551724,2.143842138
fortune,26,2.076923077,1.718675698
forty,32,2.40625,1.932061827
forward,25,2.84,1.951068084
fought,25,2.64,1.823001189
foul,25,1.28,0.613731755
found,31,3.225806452,2.216749534
fountain,25,4.72,1.882374387
four,23,3.739130435,2.508483629
fourteen,25,2.6,2.121320344
fourth,27,3.333333333,2.236067977
fox,29,3.24137931,2.149005956
frame,25,4.48,2.162560211
frank,23,1.173913043,0.49102619
freckles,23,2.782608696,2.109642834
free,23,2.130434783,1.740019536
freedom,23,1.739130435,1.321754733
freeze,24,3.875,2.049655326
freezer,24,6.458333333,0.931532943
freezing,26,3.730769231,2.506913518
french fries,24,6.583333333,0.974307632
fresh,27,3.777777778,2.325995789
fried,26,3.038461538,1.907475174
friend,23,6.391304348,1.339576949
friendly,29,3.827586207,2.001231148
fright,23,3.043478261,2.120854478
frighten,24,3.041666667,2.196423311
frisky,24,1.875,1.512628004
frog,26,5.038461538,2.009592381
from,29,2.655172414,2.02265494
front,32,3.65625,2.377439325
frost,28,5.321428571,1.540888907
frosting,26,5.884615385,1.42343031
frown,30,3.566666667,2.223438365
froze,27,3.592592593,2.024071663
frozen,24,4.916666667,2.019829237
fruit,284,6.714788732,0.87343578
fry,30,3.666666667,1.988472526
fudge,31,4.709677419,1.96966238
fuel,27,2.962962963,1.720498172
full,25,4.44,2.484619354
fun,34,3.970588235,2.645582872
funeral,26,1.846153846,1.255143265
funny,26,3.653846154,2.399038269
fur,24,5.791666667,1.503016291
furious,25,1.92,1.411854572
furiously,23,2.086956522,1.59296874
furnace,26,3.961538462,1.989588284
furniture,26,6.615384615,0.697247335
furry,23,4.869565217,2.11712386
furs,25,3.8,2.140872096
further,26,2.5,1.749285568
fury,29,1.655172414,1.110851092
fuss,46,2.108695652,1.63609645
future,28,2.75,1.917270436
fuzzy,28,4.071428571,2.580964095
gabby,26,1.884615385,1.4512594
gallop,43,2.604651163,1.989729999
game,284,6.355633803,1.148175671
gang,29,1.310344828,0.603764871
gap,26,2.269230769,1.372812946
garage,23,5.913043478,1.703286755
garbage,24,6.166666667,1.16718415
garden,25,6.16,1.34412301
gardener,26,4.038461538,1.799572599
gas,28,3.107142857,2.00627323
gasp,28,3.035714286,2.045449201
gate,29,5.931034483,1.386955414
gathering,26,2.884615385,1.966253759
gave,26,2.615384615,1.856381924
gear,28,3.107142857,1.852711441
geese,27,4.666666667,1.775907135
general,45,1.911111111,1.443200708
gentle,24,3.666666667,2.389590954
gentleman,25,3.08,1.891207727
gently,41,3.487804878,2.214971233
get,26,3.423076923,2.230212132
getting,33,2.757575758,1.820547703
ghost,33,2.393939394,1.919299904
ghostly,32,1.96875,1.3792091
giant,33,3.636363636,2.559518776
gift,23,6.434782609,0.945135246
giggle,46,4.717391304,2.23768773
ginger,25,3.56,2.022374842
gingerbread,25,6.08,1.222020185
giraffe,25,3.56,2.274496281
girl,23,5.52173913,2.23341494
git,28,1.142857143,0.59093684
give,28,3.607142857,2.330780917
giving,24,3.625,2.203011772
glad,25,3.48,2.002498439
gladly,32,3.0625,2.19878999
glass,27,5.444444444,2.118296364
glasses,26,6.423076923,0.945434373
gleam,28,1.357142857,0.731020885
glee,44,2.159090909,1.655760653
glide,27,3.518518519,1.928936941
glitter,37,6.054054054,1.526541952
globe,25,5,2.160246899
gloomy,27,2.185185185,1.387777333
glorious,30,1.733333333,1.112106834
glove,27,6.407407407,0.843949473
glue,25,6.2,1.118033989
go,45,3.444444444,2.650519294
goal,27,4.259259259,2.122998471
goat,27,4.740740741,1.972748816
goblin,45,2.155555556,1.795898807
going,40,3.325,2.152964563
gold,35,4.857142857,2.157652007
golden,23,2.130434783,1.575504186
goldfish,24,5.291666667,1.988645304
golf,23,3.782608696,2.503752125
gone,26,3.923076923,2.365131319
gong,24,2.875,2.132818099
gonna,24,1.791666667,1.215092291
good,32,3.375,2.196037487
good-bye,34,3.794117647,2.266747928
good-looking,44,2.454545455,2.039773647
goodness,28,2.928571429,1.923125763
goods,25,3,2.217355783
goose,32,3.59375,2.153157846
gorilla,46,3.934782609,2.444060137
got,23,3.52173913,2.171500638
gotta,26,2.192307692,1.649708599
gotten,33,1.96969697,1.811160686
government,23,1.434782609,0.843482336
grab,45,4.133333333,2.500908926
grabbed,28,3.178571429,1.925531604
grace,24,1.5,1.318760947
grade,29,2.931034483,1.830905991
graduate,23,1.826086957,0.984062725
graduation,25,2.52,1.82847842
grain,31,4.096774194,2.256174324
grand,27,1.740740741,0.984205755
granddaughter,27,4.481481481,2.407845676
grandfather,44,6.477272727,1.088814939
grandma,25,6.64,0.757187779
grandmother,40,6.175,1.752470783
grandpa,45,6.577777778,0.988315575
grandparents,25,6.84,0.374165739
grandson,49,3.87755102,2.611135234
granny,24,5.375,2.163180026
grant,24,1.25,0.737209781
grape,26,6.346153846,1.263085356
graph,25,2.44,1.609347694
grasp,27,2.814814815,2.000712124
grass,23,6.782608696,0.599736438
grasshopper,27,5.259259259,2.141038436
grassy,24,3.958333333,2.422344654
grateful,26,2.5,1.72626765
graveyard,26,2.653846154,1.719123211
gray,42,2.880952381,2.36026436
great,32,2.625,1.946875081
greedy,26,2.692307692,1.783686761
green,27,4.814814815,2.512079081
green beans,31,5.967741935,1.642840446
greenhouse,23,3.826086957,1.77487961
greens,26,5.192307692,1.523659562
greet,25,3.28,2.072036036
grey,26,3.730769231,2.409276942
grin,27,3.740740741,2.263295633
grind,26,2.615384615,1.940658096
grip,24,4.166666667,1.992740448
grizzly,27,3.148148148,2.597390757
groceries,25,5.96,1.27410099
grocery,24,5.291666667,2.216129934
ground,26,6.076923077,1.354195759
group,25,4.12,2.107921567
grow,28,3.642857143,2.376026651
growl,24,4.541666667,1.933214639
grown,25,3.56,2.218858565
grown-up,23,5.739130435,2.027479207
grumpy,27,3.444444444,2.325995789
guard,27,2.592592593,2.080296933
guess,25,2.92,2.039607805
guide,26,2.730769231,1.950542331
guilt,23,1.739130435,1.136877354
guilty,23,1.826086957,1.302172098
guitar,25,5.28,1.860107524
gull,27,2.962962963,1.990003508
gully,26,2.076923077,1.622912861
gulp,27,3,1.941450687
gum,26,5.846153846,1.804268443
gums,31,5.612903226,1.782833313
gun,23,2.913043478,2.25455183
guts,24,2.375,1.883855898
guy,32,4.6875,2.146828118
gym,25,5.04,1.859211302
gymnasium,23,5,2.044949433
had,47,2.255319149,1.972287186
hail,29,4.172413793,1.691765044
hair,284,6.718309859,0.896528028
hairy,33,4.787878788,2.190285024
half,45,3.222222222,2.098580569
halfway,23,2.52173913,1.728624393
hall,23,5.130434783,1.659801407
halt,26,2.115384615,1.681116845
ham,23,5.173913043,2.059394746
hamburger,25,6.12,1.78699002
hammer,27,5.37037037,1.690428898
hamster,33,4.909090909,2.021194516
hand,28,6.75,1.004618962
handbag,25,4.24,2.296373953
handful,28,3.714285714,2.241975697
handkerchief,27,3.962962963,2.42552899
handle,27,5.777777778,1.717183144
handlebars,26,5.846153846,1.592289112
handsome,23,2.608695652,2.016728459
hang,32,3.25,2.369156649
hanging,28,3.714285714,1.940926523
happen,24,2.166666667,1.761093205
happening,30,2.133333333,1.525266135
happily,29,3.24137931,2.029341421
happy,30,4.066666667,2.69012669
hard,28,4.357142857,2.407000373
hardly,27,1.666666667,1.14354375
hardware,24,3.458333333,2.264646372
hare,29,3.862068966,2.166698244
harm,25,3.24,2.314447378
harmless,27,1.740740741,1.258588727
has,29,2.689655172,2.019608312
hat,30,5.633333333,2.14127473
hatch,26,2.346153846,1.547703013
hate,30,2.533333333,1.907034769
haul,26,2.423076923,1.792720322
haunted,28,1.714285714,1.301200097
have,45,2.977777778,2.444742865
have to,20,2.05,1.605090586
having,24,2.041666667,1.267629306
hawk,45,3.533333333,2.170043988
hay,25,5.04,1.790716802
he,23,3.869565217,2.201329099
head,44,6.659090909,1.237837233
heading,27,1.962962963,1.315045524
headlines,24,1.875,1.295896534
headquarters,28,2.571428571,1.894017314
heads,32,4.65625,2.695388834
heal,35,3.342857143,2.33821019
health,24,3,2
healthy,47,2.85106383,2.466988336
heap,32,2.53125,1.684547896
hear,27,3.62962963,2.404293406
heard,25,3.48,2.181742423
hearing,23,3.695652174,2.420270132
heart,26,4.692307692,2.015325895
hearts,27,4.851851852,2.522265522
heat,26,4.115384615,2.422014419
heave,24,1.708333333,1.041702898
heavy,25,4.04,2.281812145
heel,29,4.517241379,2.414549494
held,23,4.434782609,2.191431391
helicopter,23,4.869565217,2.180582654
hello,26,4.461538462,2.716332369
helmet,24,6.541666667,0.9770927
help,28,3.642857143,2.585060866
helpful,27,3.740740741,2.379279021
helping,23,4.695652174,2.530447007
hen,27,4.666666667,2.075498087
her,25,3.68,2.511971337
herd,46,2.586956522,1.915737015
here,28,3.714285714,2.40149865
hers,23,2,1.651445648
herself,34,4.676470588,2.070288931
hi,23,3.52173913,2.744739849
hickory,23,1.47826087,0.845822097
hid,29,4.103448276,2.058862855
hidden,26,3.5,2.453568829
hide,23,3.913043478,2.372437248
hide-and-seek,28,5.892857143,2.024649686
high,25,4.12,2.242022896
high chair,28,5.571428571,1.970684623
highway,33,4.303030303,2.053729055
hike,23,5.434782609,1.829706558
hill,31,5,2.081665999
hillside,43,4.302325581,2.132904165
him,25,4.08,2.396525262
himself,25,4.6,2.273030283
hind,46,1.739130435,1.451968512
hint,23,2.434782609,1.590485545
hippo,24,3.875,2.327762501
hippopotamus,24,4.125,2.437256119
hire,24,2,1.38312815
his,49,3.734693878,2.472983271
hiss,25,3.68,1.864582169
history,45,2,1.58113883
hit,31,4.322580645,2.534917445
hitch,25,2.88,1.508862706
hive,24,3.916666667,2.185260241
hoe,27,2.777777778,1.867399124
hog,30,2.466666667,1.716719673
hold,37,4.945945946,2.222935321
holder,25,3.64,2.157931108
holds,35,3.828571429,2.216060552
hole,27,5.888888889,1.368135546
hollow,29,2.413793103,2.096208165
home,27,6.185185185,1.520046483
homer,26,1.5,1.067707825
homework,29,5.137931034,1.807210517
honest,24,3.125,2.346366293
honey,24,6.458333333,1.178767472
honk,25,4.6,2.34520788
honor,26,1.807692308,1.233506571
hoof,27,2.703703704,1.957526202
hook,25,4.76,2.332380758
hooked,27,2.740740741,2.104803894
hoop,24,5.375,2.060234263
hop,27,5.074074074,2.0177277
hope,26,2.769230769,1.965862504
hopped,24,4.5,2.085144141
horn,23,5.260869565,1.763709709
horned,24,2.333333333,1.761093205
horrible,27,2.222222222,1.967687697
horse,32,5.40625,1.720078299
horseback,23,3.913043478,2.33380383
hose,46,5.391304348,1.819380369
hospital,25,5.24,1.87705443
hot,23,4,2.153221688
hotel,25,4.64,2.196208855
hotter,27,4.518518519,1.783910363
hound,23,3.652173913,2.207604536
hour,23,2.782608696,1.929590671
house,32,5.9375,1.933365777
housekeeper,30,3.4,2.386745006
how,27,2.62962963,2.13303951
however,27,1.962962963,1.427248064
howl,25,3.04,1.989137166
hug,46,6.217391304,1.800161023
huge,25,3,2.217355783
hugged,23,5.826086957,1.992079177
hum,27,3.592592593,2.205923132
human,28,6.357142857,1.339272487
hundred,33,3.151515152,2.032873768
hung,24,3.25,2.250603784
hungry,32,3.375,2.472428609
hunt,33,2.818181818,2.142640682
hunter,25,3.44,1.959591794
hurried,29,2.931034483,2.034190511
hurry,48,3.458333333,2.475052833
hurt,24,3.958333333,2.255026591
husband,25,4.4,2.397915762
hush,38,2.894736842,1.928302344
husky,26,3.307692308,2.258658554
hut,34,3.441176471,2.047780417
I,25,4.44,2.739829678
ice,35,5.857142857,1.682834743
ice cream,45,6.688888889,0.848051838
icebox,33,3.090909091,1.974266262
idea,23,3.043478261,2.383241888
ideal,44,2.204545455,1.95982374
if,24,2.041666667,1.781039429
ill,45,3.2,2.20123932
image,24,3.75,2.111047545
imagine,24,3.541666667,2.225917821
impatient,23,2.434782609,1.829706558
important,28,2.607142857,2.148889217
impossible,24,2.416666667,1.88625847
in,26,3.692307692,2.149776375
inch,31,1.806451613,1.249516035
indeed,24,1.75,1.224744871
independent,24,3.125,1.596531567
indoor,27,4.111111111,2.438999374
indoors,42,4.619047619,2.315929787
information,26,2.807692308,1.523659562
ink,25,4,2.236067977
inn,32,2.8125,1.856766179
inner,25,2.28,1.620699437
inning,24,1.458333333,0.931532943
insect,26,6.192307692,1.442753777
inside,47,4.276595745,2.455713194
instant,28,2.25,1.734721666
instead,26,2.346153846,1.647842412
intend,24,1.791666667,1.350657382
interested,24,3.416666667,2.062431378
interesting,45,2.422222222,2.158375745
interview,24,2.125,1.329023833
into,26,3.230769231,2.103476975
inventor,23,3.434782609,2.232529893
invite,24,2.958333333,2.031901373
inviting,26,2.807692308,2.097984381
iron,23,3.739130435,2.004934624
is,25,2.04,1.619670748
island,26,4.269230769,1.970942765
it,32,3.21875,2.268072579
itch,31,5.387096774,2.12410639
item,25,3.88,2.315167381
itself,24,2.041666667,1.654484464
ivy,28,3.071428571,2.243155374
jack,32,2.375,1.995963669
jackal,27,2.111111111,1.846687957
jacket,35,6.885714286,0.322802851
jail,27,2.222222222,2.081665999
jam,25,6.12,1.235583533
jammed,25,2.88,1.94336478
janitor,27,4.407407407,2.098703982
jar,26,6.038461538,1.708350531
jaw,28,5.035714286,1.914508792
jay,25,2.68,1.994158135
jazz,45,2.2,1.546256476
jealous,23,2.52173913,1.754722594
jean,45,4.711111111,2.095690624
jeans,24,6.041666667,1.517411029
jeep,30,4.166666667,2.001436266
jello,36,6.111111111,1.617366074
jelly,42,5.214285714,1.969718493
jet,24,4.208333333,1.887698545
jinx,29,1.586206897,1.637010371
job,45,3.644444444,2.327264836
join,45,2.733333333,1.993170156
joke,33,3.787878788,2.301596942
joking,24,3.25,2.151844507
journey,26,3.230769231,1.945408796
joy,284,3.535211268,2.268736582
judge,284,1.714788732,1.111929986
judgment,26,1.692307692,1.40767129
jug,23,5.217391304,1.881887876
juice,31,6.129032258,1.499820778
juicy,29,3.586206897,2.35307157
jumble,33,2.333333333,1.814295088
jump,31,4.806451613,2.600248127
jumper,35,3.657142857,2.543074299
jumpy,29,2.965517241,1.898923729
jungle,24,3.291666667,1.966660526
junior,23,2.043478261,1.664557295
junk,26,3.884615385,2.388755711
just,44,2.068181818,1.835030286
kangaroo,23,4.869565217,1.984126733
keep,26,3.807692308,2.33271054
keeper,46,1.782608696,1.604341935
keeping,44,2.545454545,2.172283607
kept,26,2.730769231,1.866712454
ketchup,26,6.153846154,1.461295526
kettle,23,4.347826087,2.144945341
key,43,5.860465116,1.390124958
keys,26,6.307692308,1.435805858
kick,27,5,2.303842943
kicks,24,4.708333333,2.17653827
kid,25,6.72,0.890692614
kids,28,6.5,1.071516751
kill,30,2.033333333,1.938419785
killer,28,1.642857143,1.44566493
kind,27,3.259259259,2.313714838
kindly,25,3.08,2.431049156
king,23,3.086956522,2.234299636
kingdom,25,2.28,1.594783162
kiss,23,5.739130435,2.071832551
kit,23,3.695652174,2.054590926
kitchen,26,6.153846154,1.376729681
kite,27,5.592592593,2.004979556
kitten,43,5.860465116,1.859101106
kitty,26,6.576923077,0.702741883
knee,23,6.608695652,0.838783233
knew,32,1.96875,1.469789869
knife,32,4.90625,2.021806522
knit,24,3.541666667,2.042572263
knitting,34,3.676470588,2.142224675
knob,29,6.137931034,1.481411921
knock,33,4.96969697,1.991934494
knot,35,4.257142857,2.119140463
know,26,3.615384615,2.316496028
knowing,23,2.260869565,1.839401862
knowledge,26,2.423076923,1.501281504
known,23,1.956521739,1.330695678
lab,23,2.47826087,1.879786381
laboratory,36,2.555555556,1.680891676
lace,30,4.266666667,2.116166562
lad,44,2.227272727,1.789681489
ladder,45,5.444444444,1.865421663
ladies,28,4.928571429,2.259606184
lady,26,4.730769231,2.442256208
ladybug,32,6.59375,0.756024193
laid,30,2.666666667,1.422318004
lake,283,5.540636042,1.665548581
lamb,25,5.24,2.005824851
lame,26,1.5,0.989949494
lamp,25,5.96,1.743559577
land,25,4.64,2.11896201
landing,26,3.076923077,1.764609349
landlord,25,1.92,1.441064421
lane,28,3.5,2.202691956
language,33,2.848484848,2.017442876
lap,31,5.387096774,2.108355115
large,32,3,2.170179121
last,28,3.642857143,2.360387377
latch,26,4.153846154,1.953300954
late,26,3.923076923,2.560048076
lately,29,2,1.511857892
later,27,3.185185185,2.253834972
laugh,31,5.451612903,2.218688947
laughter,27,4.518518519,2.636582438
lava,28,3.071428571,2.402600003
law,24,1.583333333,1.059805834
lawn,24,5.208333333,1.864523874
lawnmower,29,4.103448276,2.241568768
lawyer,31,1.806451613,1.249516035
lay,25,3.6,2.179449472
lazily,23,2,1.930614598
lazy,25,2.24,1.588500341
lead,27,3.222222222,2.006400016
leader,26,3.846153846,2.185265342
leading,27,2.740740741,1.972748816
leaf,24,6.5,1.142080481
league,24,2.333333333,1.685401943
lean,33,2.272727273,1.736964437
leap,23,2.782608696,2.430049041
learn,28,4.535714286,2.516348661
learned,48,2.875,2.339530777
learning,27,3.814814815,2.253834972
least,26,1.961538462,1.370569786
leather,26,3.923076923,2.243623443
leave,24,3.75,2.453923212
leaves,30,6.5,0.90019155
led,24,1.958333333,1.39810949
ledge,26,3.192307692,2.078831032
left,30,2.966666667,2.311639713
left-hand,23,5.304347826,2.20402076
leg,27,6.666666667,1
lemme,25,1.52,0.918331821
lemon,26,5.923076923,1.622912861
lemonade,30,5.3,1.985290737
lend,26,1.923076923,1.467598771
length,23,3.043478261,1.89444789
lent,26,2.192307692,1.697509488
leopard,26,3.730769231,2.164397234
less,31,2.451612903,1.670103982
lesson,24,4.25,2.005427418
let,28,2.857142857,2.031498001
letter,23,5.173913043,1.585507487
letting,27,2.074074074,1.639088066
lettuce,23,5.565217391,1.727480745
level,24,1.791666667,1.284664283
lever,31,3.387096774,2.011258633
liar,24,2.708333333,1.82921144
librarian,23,4.826086957,2.166945356
library,26,6.192307692,1.625281041
license,24,2.541666667,1.84105751
lick,34,5.647058824,1.905054727
licking,28,5.892857143,1.523623501
lid,25,5.68,1.842100251
lie,28,2.75,2.048034288
lies,26,2.346153846,1.412580835
life,24,3.375,2.337082909
lifeless,27,1.333333333,0.480384461
lift,25,4.16,2.075250989
light,27,5.666666667,2.019139192
lighter,23,3.52173913,2.042048108
lighthouse,27,3.777777778,2.154303981
lightning,25,3.52,2.103964512
like,42,2.952380952,2.368001946
likely,27,2.37037037,1.596827339
lily,42,3.738095238,2.012879551
limb,30,4.133333333,2.208655908
limp,23,2.695652174,1.819959605
line,23,4.304347826,1.96410476
lines,24,3.958333333,2.544886889
